topic,avg_rating,n,std,ratings,freq,pol_points,ME,residuals,comment_length
sports-swimming,4.892307692307693,520,0.5298207802376175,[5 4 2 1],[123   4   2   1],1.9538461538461538,0.04553815249247062,0.0001800778367548883,213.06923076923076
sports-tennis,4.567986230636833,2905,1.0450807180363797,[5 3 1 2 4],[477  30  27  18  29],1.8158347676419966,0.03800361043847512,-0.06200917930371097,258.75731497418246
sports-hockey,4.546756756756757,18500,1.142887651554594,[1 5 4 3 2],[ 254 3113  111  116  106],1.8786486486486487,0.016468944545252898,0.005767875894980623,218.5764864864865
sports-volleyball,4.864077669902913,412,0.5405596468767013,[5 3 4 1],[95  3  4  1],1.9029126213592233,0.05219670702848804,-0.04415364348991879,222.3398058252427
sports-rugby,4.9880239520958085,334,0.1087778570334428,[5 4],[165   2],1.9880239520958083,0.011665822291014781,0.01198066254722785,219.92814371257484
sports-cricket,4.7976190476190474,336,0.6862555733967782,[5 4 3 1],[74  7  1  2],1.8928571428571428,0.07337774090278996,-0.03867196262474115,236.53571428571428
news-news-commentary,4.492889258950874,150125,1.2228565928543276,[5 2 3 1 4],[24931   777   790  2596   931],1.8904912572855954,0.006185817603509412,0.030204003165981597,232.29485428809326
hinduism,,,,,,,,,216.38738738738738
leisure-crafts,,,,,,,,,240.62944785276073
science-chemistry,,,,,,,,,236.59876543209876
science-mathematics,,,,,,,,,210.5
